Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Body Battery,Sleep,stress
Running,2025-07-11 11:04:59,false,"Aachen Running","10.50","628","00:59:56","175","189","4.5","163","223","5:42","3:50","204","204","1.07","9.2","9.8","271","5:34","--","--","258","0.0","252","360","9,786","No","00:02:34.9","11","00:59:45","01:04:24","160","258",78,450,31
Running,2025-07-09 12:37:36,false,"Aachen Running","5.02","290","00:26:41","177","203","3.8","161","226","5:19","3:04","40","39","1.15","9.1","10.4","270","5:19","--","--","270","0.0","262","443","4,288","No","00:01:17.2","6","00:26:39","00:26:41","210","221",77,380,21
Running,2025-07-05 12:03:28,false,"Aachen Running","5.02","294","00:27:04","179","202","3.8","159","179","5:23","3:25","18","16","1.16","9.2","10.6","274","5:23","--","--","271","0.0","265","399","4,286","No","00:00:08.5","12","00:27:00","00:27:04","210","222",75,400,72
Running,2025-06-28 18:33:59,false,"Aachen Running","5.01","265","00:26:12","159","194","3.4","157","176","5:14","3:33","9","8","1.19","9.0","10.7","272","5:20","--","--","272","0.0","263","389","4,260","No","00:00:05.7","13","00:27:07","00:27:15","209","213",55,450,28 
Running,2025-06-25 16:05:08,false,"Aachen Running","5.00","281","00:26:38","181","210","4.1","159","169","5:19","4:15","37","32","1.18","9.1","10.7","273","5:17","--","--","272","0.0","267","353","4,242","No","00:04:46.3","5","00:26:35","00:26:38","210","223",52,400,43
Running,2025-06-20 14:06:55,false,"Aachen Running","5.01","277","00:26:35","182","204","4.2","163","171","5:19","4:32","22","20","1.15","8.9","10.3","266","5:17","--","--","267","0.0","264","332","4,320","No","00:02:02.7","10","00:26:32","00:26:40","208","219",62,430,20
Running,2025-06-16 13:01:33,false,"Aachen Running","5.00","298","00:28:35","185","198","3.8","162","171","5:43","5:05","40","38","1.08","9.3","10.0","274","5:40","--","--","253","0.0","248","352","4,618","No","00:04:19.6","6","00:28:33","00:28:35","208","220",77,441,13
Running,2025-06-02 12:39:57,false,"Aachen Running","5.01","292","00:28:09","182","204","3.8","161","234","5:37","4:06","49","48","1.10","9.3","10.2","274","5:35","--","--","266","0.0","258","377","4,514","No","00:00:02.3","6","00:28:07","00:28:09","206","217",84,486,14
Running,2025-05-23 10:17:01,false,"Aachen Running","5.00","294","00:29:59","171","188","3.4","161","226","5:59","5:05","52","49","1.04","9.5","9.9","278","5:54","--","--","251","0.0","243","354","4,818","No","00:02:26.4","7","00:29:57","00:29:59","211","223",78,457,15
Running,2025-05-19 11:00:44,false,"Aachen Running","5.01","281","00:25:59","183","204","3.9","163","170","5:11","4:47","5","2","1.17","8.8","10.3","262","5:13","--","--","266","0.0","265","304","4,234","No","00:00:49.0","12","00:25:54","00:26:07","211","215",76,440,34
Running,2025-05-17 20:22:13,false,"Aachen Running","5.01","285","00:25:53","177","210","3.9","164","170","5:10","4:26","0","0","1.18","8.8","10.4","263","5:11","--","--","272","0.0","270","328","4,206","No","00:01:03.4","12","00:25:50","00:25:53","209","211",36,440,15
Running,2025-05-12 11:32:42,false,"Aachen Running","5.04","296","00:26:52","180","211","3.6","162","227","5:20","4:01","10","7","1.15","9.0","10.3","268","5:22","--","--","259","0.0","258","355","4,338","No","00:02:14.8","11","00:26:49","00:26:52","211","216",70,417,35
Running,2025-04-06 12:59:42,false,"Aachen Running","5.01","286","00:26:48","171","196","3.3","162","170","5:21","4:24","25","25","1.15","9.0","10.3","268","5:22","--","--","261","0.0","260","312","4,322","No","00:01:17.6","11","00:26:43","00:27:05","206","211",62,391,17
Running,2025-01-31 15:07:32,false,"Aachen Running","6.32","420","00:37:52","181","201","4.0","151","241","5:59","3:58","122","106","1.08","9.4","10.0","277","5:53","--","--","256","0.0","242","389","5,858","No","00:01:26.1","7","00:36:46","00:41:47","159","255",53,509,20
Running,2024-10-24 16:30:40,false,"Aachen Running","5.01","296","00:23:37","195","206","4.0","166","172","4:43","4:25","4","0","1.28","8.3","10.6","252","4:44","--","--","296","0.0","294","354","3,908","No","00:02:03.7","11","00:23:32","00:23:37","210","216",53,427,18
Running,2024-10-16 15:52:13,false,"Aachen Running","5.02","288","00:24:55","182","200","3.8","155","170","4:58","4:06","0","0","1.29","8.4","10.8","256","4:58","--","--","288","0.0","276","341","3,896","No","00:00:44.3","12","00:23:59","00:27:40","209","212",54,407,22
Running,2024-10-05 15:12:34,false,"Aachen Running","5.01","300","00:24:39","191","205","4.0","168","174","4:55","4:17","55","0","1.20","8.4","10.1","252","4:57","--","--","278","0.0","277","326","4,136","No","00:02:07.8","11","00:24:33","00:24:39","213","223",68,444,21
Running,2024-09-21 12:45:34,false,"Aachen Running","5.01","303","00:25:18","189","208","3.9","167","178","5:03","3:46","2","0","1.18","8.5","10.0","256","5:04","--","--","270","0.0","268","365","4,210","No","00:01:42.5","11","00:25:15","00:25:18","211","214",42,461,28
Running,2024-09-20 17:13:49,false,"Aachen Running","8.63","557","00:51:21","184","201","4.5","152","176","5:57","5:07","11","7","1.11","9.0","9.9","267","5:58","--","--","245","0.0","229","280","7,762","No","00:02:08.6","20","00:47:56","00:51:21","207","211",40,383,33
Running,2024-09-05 17:21:15,false,"Aachen Running","3.81","240","00:21:34","175","196","3.2","158","167","5:40","5:14","46","41","1.12","9.3","10.4","278","5:34","--","--","268","0.0","259","356","3,404","No","00:04:13.3","5","00:21:31","00:21:34","210","222",50,462,26
Running,2024-08-27 19:26:41,false,"Aachen Running","1.12","88","00:09:22.4","154","179","2.0","106","244","8:20","2:50","35","0","0.98","8.0","7.7","299","8:04","--","--","203","0.0","154","418","820","No","00:01:40.9","2","00:08:01","00:09:22.4","180","216",43,386,19
Running,2024-08-18 17:20:12,false,"Aachen Running","10.03","652","00:56:45","181","196","4.5","164","175","5:40","4:06","85","91","1.09","9.1","9.9","269","5:35","--","--","257","0.0","250","366","9,252","No","00:01:22.1","16","00:56:35","00:56:45","208","221",54,478,21
